,text,embeddings,distances
11,"October 29 – Russian invasion of Ukraine: In response to an alleged Ukrainian drone attack against the Black Sea Fleet, Russia suspends its participation in the Black Sea Grain Initiative.","[-0.01514557 -0.03898653  0.0151845  ...  0.01386072  0.01070053
  0.00903283]",0.12849644975342167
12,"April 8 – Russian invasion of Ukraine: Russia is condemned by world leaders following a missile attack on Kramatorsk train station, which kills 59 civilians trying to evacuate, including seven children.","[-0.00107477 -0.00857905 -0.00284372 ...  0.01548569  0.01300262
  0.01182811]",0.12935127562519844
13," – The ongoing Russian invasion of Ukraine escalated after Russian president Vladimir Putin announced a ""special military operation"", stating that it was to support the Russian-backed breakaway republics of Donetsk and Luhansk, whose paramilitary forces had been fighting Ukraine in the Donbas conflict since 2014.","[-0.01474885 -0.00763993  0.01405853 ...  0.00196474  0.0206829
  0.01076626]",0.13048907343930882
14,"April 18 – Russian invasion of Ukraine: The battle of Donbas begins, leading to the deaths of several thousand military personnel and civilians.","[-0.00616406 -0.00394054  0.00483886 ...  0.01153172  0.00449164
  0.00016993]",0.13068969091677463
15,"July 22 – Russian invasion of Ukraine: Russia and Ukraine sign the Black Sea Grain Initiative, an agreement brokered by Turkey and the United Nations to facilitate the shipment of grain exports and reduce soaring global food prices.","[-0.0050048  -0.03014535  0.01085129 ...  0.00561017  0.01701503
  0.00511487]",0.1342609787270741
16,March 2 – Russian invasion of Ukraine: The United Nations reports that over a million refugees have now fled from Ukraine to other countries.,"[-0.00985791 -0.01621192  0.00713477 ...  0.00346582  0.00226929
 -0.00296912]",0.1350110297508319
17,"September 30 – Annexation of Southern and Eastern Ukraine: Russian President Vladimir Putin signs treaties absorbing the occupied regions of Donetsk, Luhansk, Kherson and Zaporizhzhia into the Russian Federation. This annexation is seen as a breach of international law by the global community.","[-0.00042342 -0.00161606  0.0232927  ...  0.01007703  0.00960957
  0.00510863]",0.13537049141719615
18,"February 27 – Russian invasion of Ukraine: Putin orders Russia's nuclear deterrent forces to be on ""special alert"", their highest level, in response to what he calls ""aggressive statements"" by NATO. The move is condemned by the US.","[-0.0182549  -0.03141901  0.00757193 ... -0.00167444  0.02347426
  0.00288768]",0.13769078384092426
19,February 27 – Russian invasion of Ukraine: European nations ban Russian flights in their airspace.,"[-0.00621558 -0.02177186  0.02186015 ...  0.01456923  0.02236472
 -0.00594753]",0.13845269668472526
20,"March 24 – Russian invasion of Ukraine: NATO announces that four new battlegroups totaling 40,000 troops will be deployed in Bulgaria, Hungary, Romania and Slovakia, along with enhanced readiness for potential chemical, biological, radiological and nuclear threats.","[ 3.01823347e-05 -1.73785649e-02  7.55224610e-03 ... -4.00223816e-03
  2.40328107e-02 -3.25282803e-03]",0.14607888893283816
21,"April 14 – Russian invasion of Ukraine: The Russian flagship Moskva becomes the largest warship to be sunk in action since World War II. Ukraine claims to have struck it with Neptune anti-ship missiles, while Russia claims it sank during stormy weather after an onboard fire.","[-0.01049471 -0.01314656  0.00191596 ...  0.00666941  0.00371922
  0.00916215]",0.14671552089332762
22,"February 26 – Russian invasion of Ukraine: The EU, US, and their allies commit to removing Russian banks from the SWIFT payment system, as well as imposing measures on the Russian Central Bank and further restrictions on Russian elites. These and other sanctions fuel a financial crisis in Russia.","[-0.01407615 -0.02106237  0.01337623 ...  0.00084574  0.02500266
 -0.00819164]",0.14681021652618242
23,Russian invasion of Ukraine: Russia is condemned by world leaders following an attack by its troops on the Zaporizhzhia nuclear plant – the largest in Europe – which led to a fire at the site.,"[ 0.00038208 -0.03463311  0.0128915  ...  0.01142074  0.01050632
 -0.01027611]",0.14725880112096135
24,"September 27 – Russian occupation authorities in Ukraine claim that their annexation referendums show an overwhelming support for the annexation by Russia of the Donetsk People's Republic, the Luhansk People's Republic, and parts of Kherson Oblast and Zaporizhzhia Oblast. However, the voting is widely dismissed as a sham referendum.","[ 0.00314883  0.00369299  0.01183216 ...  0.02177966  0.01171271
 -0.00145082]",0.1492951349103221
25,September 2 – Russian invasion of Ukraine: The G7 economies agree to impose a price cap on Russian petroleum exports.,"[-0.0107727  -0.01847686  0.00493066 ...  0.00778939  0.01148739
  0.00037005]",0.15221866866419054
26,March 2 – The International Criminal Court begins an investigation into possible war crimes committed by Russia in Ukraine.,"[ 0.0036076  -0.00588272  0.00984181 ...  0.01959416  0.01237896
 -0.00104489]",0.1547895684352053
27,February 28 – Russian invasion of Ukraine: Football governing bodies FIFA and UEFA suspend Russian clubs and national teams from all competitions.,"[ 0.00670131 -0.01818565  0.01381908 ...  0.00287897  0.01863998
 -0.00308247]",0.1563324094356685
28,June 26 – G7 leaders gather for a summit in Germany to discuss the situation in Ukraine. A ban on imports of Russian gold is announced.,"[ 0.00035975 -0.01178018  0.00373199 ...  0.00543038  0.01571968
 -0.02306234]",0.16389494224592838
29,March 1 – Russian invasion of Ukraine: World Athletics bans both Russia and Belarus from competing in all of its events.,"[-0.00207576 -0.00791224  0.00381197 ...  0.00314408  0.01029553
 -0.00536239]",0.1654855759364826
30,"November 15 – Two missiles impact the village of Przewodów, Poland, close to the border with Ukraine.","[-9.35685728e-03 -8.62974022e-03 -3.57280333e-05 ...  1.97597444e-02
  3.86201590e-03 -5.56898885e-04]",0.1770469220769173
31,"January 6 – The CSTO deploys a ""peacekeeping"" mission in Kazakhstan, including Russian paratroopers, following a request by Kazakh president Tokayev.","[ 0.01342934  0.00311033  0.00679267 ...  0.02605265  0.02571464
 -0.01513238]",0.1776878085935384
32,"February 27 – In a constitutional referendum, Belarus votes to revoke its non-nuclear status and to allow the country to host Russian forces permanently.","[-0.00995556 -0.00275665  0.00519715 ...  0.01913688  0.01251059
 -0.01784646]",0.17965674271228205
33,February 28 – Ukraine applies for membership to join the European Union.,"[-0.00248689 -0.00209439  0.01206987 ...  0.01927456  0.02235253
 -0.00451767]",0.1809236299612318
34,April 27 – The European Union accuses Russia of blackmail after gas supplies to Poland and Bulgaria are halted by energy giant Gazprom.,"[ 0.00192514 -0.02539594  0.01324116 ...  0.01450649  0.01727997
 -0.00057994]",0.18153400930961283
35," – 2022 was also dominated by wars and armed conflicts. While escalations into the internal conflict in Myanmar and the Tigray War dominated the heightening of tensions within their regions and each caused over 10,000 deaths, 2022 was most notable for the Russian invasion of Ukraine, the largest armed conflict in Europe since World War II. The invasion caused the displacement of 15.7 million Ukrainians (8 million internally displaced persons and 7.7 million refugees), and led to international condemnations and sanctions and nuclear threats, the withdrawal of hundreds of companies from Russia, and the exclusion of Russia from major sporting events.","[-0.00962858 -0.0153182   0.010736   ... -0.00177718  0.00820949
 -0.00844822]",0.18533158488669488
36,"December 2 – The G7 and Australia join the EU in imposing a cap of $60 a barrel on Russian crude oil, designed to ""prevent Russia from profiting from its war of aggression against Ukraine.""","[-0.00972514 -0.01762151 -0.00789637 ...  0.01806564 -0.00264192
 -0.00111686]",0.18858057703861408
37,"March 8 – The US and UK announce a ban on Russian oil, while the EU announces a two-thirds reduction in its demand for Russian gas.","[-0.00496971 -0.02373746  0.01297028 ...  0.02679379  0.01547265
 -0.00158308]",0.19398026998020412
38,"February 28 – 2022 Russian financial crisis: In an unprecedented move, Switzerland, Monaco, Singapore and South Korea impose unilateral sanctions over Russia including the introduction of export controls and asset freezes.","[-0.01182415 -0.02808317  0.00394796 ...  0.01927922  0.03058355
  0.00462241]",0.19416467138070903
39,June 23 – The European Council granted Moldova and Ukraine the status of a candidate for accession to the European Union.,"[-7.08524676e-05 -1.98228587e-03  2.51047332e-02 ...  1.82015635e-02
  5.08237816e-03 -1.30463541e-02]",0.19497137758065664
40,"February 4 – China and Russia issue a joint statement opposing further NATO expansion, expressing ""serious concerns"" about the AUKUS security pact, and pledging to cooperate with each other on a range of issues.","[-0.01086445 -0.03540145 -0.00199472 ...  0.01056104  0.00595511
 -0.00434772]",0.2002834245709776
41,"June 28 – June 30 – A NATO summit is held in Madrid, Spain along with the presence of guest countries from the European Union and the Indo-Pacific primarily searching for a consensual defensive reinforcement after the Russian invasion of Ukraine and the sustained threatening over the territorial integrity of other countries.","[-0.01426876 -0.02107551  0.02423149 ... -0.00195075  0.00182037
 -0.00976213]",0.20456133599720117
42,"September 12 – September 2022 Armenia–Azerbaijan clashes: Azerbaijan attacks Armenian positions near the cities of Vardenis, Goris, Sotk and Jermuk, and occupies certain areas of its territory along the Armenia–Azerbaijan border. Over the next few days, more than 100 Armenian soldiers are killed in the clashes, while Azerbaijan acknowledges 71 fatalities among its forces.","[-0.01293696 -0.00879475 -0.00555388 ... -0.00640883  0.02017424
 -0.01542892]",0.2108581435360165
43,"March 27 – The M23 offensive begins in North Kivu, Democratic Republic of the Congo.","[-0.01941737  0.00397435  0.00981748 ...  0.01574381  0.00696952
  0.01180786]",0.210925996621794
44,"April 7 – The UN votes by 93–24 to suspend Russia from the Human Rights Council, with 58 countries abstaining.",[0.01498732 0.00627413 0.00347582 ... 0.00631825 0.02639483 0.00231301],0.21170771383796327
45,March 3 – Georgia and Moldova applied to join the European Union.,"[ 0.00367498  0.0062446   0.01649134 ...  0.0088174   0.00266333
 -0.00275703]",0.21298117320198529
46,"January 5 – A nationwide state of emergency is declared in Kazakhstan in response to the 2022 Kazakh unrest. The cabinet of prime minister Askar Mamin resigns, while president Kassym-Jomart Tokayev removes former president Nursultan Nazarbayev, widely regarded as being the real power in the country, from his position as Chairman of the Security Council of Kazakhstan.","[-0.00285188 -0.00619256 -0.0013186  ...  0.01359391  0.01975014
 -0.02364733]",0.21796327881307032
47,"March 4 – Insurgency in Khyber Pakhtunkhwa: An Afghan man on behalf of the Islamic State – Khorasan Province commits a suicide attack at a Shia mosque in Peshawar, Khyber Pakhtunkhwa, Pakistan, killing 63 people.","[-0.01610422 -0.00034551  0.01283567 ...  0.01361574  0.00968961
 -0.01308709]",0.21813959475467137
48,"September 26 – The Nord Stream pipeline sabotage occurs by an unknown perpetrator off the coast of Bornholm, Denmark with explosions on two pipelines leaving them inoperable.","[-0.01718385 -0.03455565  0.02483604 ...  0.00920947  0.00409459
  0.00968605]",0.21907076859703634
49,"July 1 – the Czech Republic takes over the Presidency of the Council of the European Union, after the French presidency.","[ 0.01415939 -0.00538332 -0.00272296 ...  0.02949561 -0.00227696
 -0.02744243]",0.22033066662131118
50,"April 8 – Global food prices increase to their highest level since the UN's Food Price Index began in 1990, with commodities such as wheat rising by nearly 20% as a result of the Ukraine crisis.","[-0.00355393 -0.01848306 -0.00161889 ...  0.00194396  0.01124548
  0.01271115]",0.22110307970188758
51,"May 10–May 14 – The Eurovision Song Contest 2022 is held in Turin, Italy. The contest is won by Ukrainian folk-rap group Kalush Orchestra with their song ""Stefania"".","[-0.00882087 -0.03787522  0.01537077 ...  0.00177219 -0.00635103
 -0.03387215]",0.22118349174216823
52,September 14–September 20 – 2022 Kyrgyzstan–Tajikistan clashes: Dozens are killed as sporadic clashes occur between Kyrgyz and Tajik troops along their countries' respective border.,"[-0.02237575 -0.0151258   0.01757722 ... -0.01313728  0.02630063
 -0.00612856]",0.22137836452689452
53,"August 30 – Mikhail Gorbachev, the final leader of the Soviet Union, dies at the age of 91.","[ 0.00286033 -0.01191806 -0.0262388  ...  0.00673132  0.01999691
  0.00412524]",0.22279443377878072
54,September 1 – The UN releases a report stating that the Chinese government's Xinjiang internment camps and treatment of Uyghurs may constitute crimes against humanity.,"[ 0.00792521 -0.02103525  0.01206793 ...  0.01756154  0.01900248
 -0.00545823]",0.2286803700312089
55,January 23 – A coup d'état in Burkina Faso removes president Roch Kaboré from power. The Burkinabé military cites the government's failure to contain activities of Islamist militants within the country as a reason for the coup.,"[-0.02871892 -0.01281396  0.00640046 ... -0.00052821  0.00941647
  0.00631894]",0.23041193302820318
56,"January 4 – The five permanent members of the UN Security Council—China, France, Russia, the United Kingdom and the United States—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""","[-0.00321067 -0.01269194 -0.00746068 ...  0.01376583  0.01821209
 -0.00879204]",0.23043418428852702
57,"January 17 – In Abu Dhabi, United Arab Emirates, a terrorist attack against 3 oil tanker trucks and an under construction airport extension infrastructure is conducted by the Houthi movement using drones and missiles, killing 3 people and injuring 6 others.","[-0.02722389 -0.02215898  0.00588598 ... -0.01146859  0.01415273
  0.01370427]",0.23330397907636313
58,"August 5 – August 7 – Israel launches airstrikes in the Gaza Strip, killing Islamic Jihad military leader Tayseer Jabari. Both parties agree to a ceasefire after three days of skirmish.","[-0.0356702  -0.00496256 -0.0020282  ... -0.00615658  0.02626196
 -0.01203182]",0.23371258328118105
59,"August 19 – The coalition government of Montenegrin prime minister Dritan Abazović collapses after the 81-seat Parliament of Montenegro passes a motion of no confidence in a vote of 50–1, following dispute within the coalition over an agreement the government signed with the Serbian Orthodox Church.","[-0.00743311  0.00508857 -0.02423127 ... -0.01596644 -0.00382789
 -0.00830412]",0.2352556500479378
60,"September 30 – Burkina Faso's military junta is overthrown by the country's second coup of the year, led by army captain Ibrahim Traoré.","[-0.0302975  -0.01734271  0.00337909 ... -0.0018838   0.01363388
  0.00730666]",0.23568849610983467
61,"March 10 – The National Assembly of Hungary elects former minister for Family Affairs, Katalin Novák, as president of Hungary in a 137–51 vote.","[-0.01300063 -0.01209781 -0.00017643 ... -0.00056104  0.00437224
 -0.02881291]",0.2359229271899519
62,"September 24 – The 2022 Nauruan parliamentary election is held, which is followed by Ubenide parliament member Russ Kun being elected president by parliament.","[-0.0136737  -0.02197842  0.00050582 ... -0.01091648 -0.0050549
 -0.01239757]",0.2361266364720912
63,"June 14 – Canada and Denmark end their competing claims for Hans Island by dividing the island roughly in half, ending what was referred to as the Whisky War.","[-0.01031831 -0.015794   -0.00524726 ...  0.02243792  0.01841763
 -0.00999852]",0.2378797493328565
64,"August 4 – China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi, the highest-ranking U.S. official to visit Taiwan since the 1990s.","[-0.018541   -0.02351129  0.00341219 ... -0.01258836  0.00657392
 -0.01437741]",0.24051105778076842
65,May 18 – Finland and Sweden apply to join NATO.,"[-0.00388419 -0.02939109  0.014122   ...  0.00655755  0.02486644
 -0.00827182]",0.24144789265245825
66,"July 6 – July 31 – UEFA Women's Euro 2022, originally intended for 2021 but indirectly delayed due to UEFA Euro 2020 being delayed, is held in England, with the hosts winning their first major tournament since 1966.","[-0.00132262 -0.03909918 -0.00611869 ... -0.008723    0.01878121
 -0.01311284]",0.24157414089431395
67,"March 3 – The National Assembly of Armenia elects incumbent minister of High-Tech Industry and former mayor of Yerevan, Vahagn Khachaturyan, as president of Armenia following the resignation of Armen Sarkissian.","[-0.00542676 -0.0059759  -0.01562132 ... -0.00786234  0.01168046
  0.00222562]",0.24187123756338424
68,June 4 – Retired general Bajram Begaj is elected President of Albania by the parliament in the fourth round of voting.,"[-0.01002572 -0.00137172 -0.01373992 ... -0.02696037  0.01648011
  0.00336031]",0.24331466251833145
69,"June 22 – A 6.2 earthquake strikes the Durand Line between Afghanistan and Pakistan, killing at least 1,163 people.","[-1.56159361e-03 -2.64156656e-03  2.14198721e-03 ...  6.12882618e-03
 -8.21408030e-05 -1.99048091e-02]",0.2433275885144478
70,"April 28 – The Parliament of Montenegro elects a new government with Dritan Abazović as prime minister, following a motion of no confidence against the government of Zdravko Krivokapić.","[ 0.00271763 -0.00047602 -0.03282046 ... -0.01163025 -0.01218105
  0.00108737]",0.2442077270990629
71,"November 2–November 3 – Tigray War: The Ethiopian government and the TPLF agree to a formal cessation of hostilities, signing a peace agreement in Pretoria, South Africa.","[-0.01733994 -0.03542986  0.00434792 ... -0.00244873  0.01316336
 -0.00319386]",0.2444619383732758
72,"May 28 – Spanish club Real Madrid beat English club Liverpool 1–0 to win the UEFA Champions League final played at the Stade de France in Paris, France.","[-6.90568751e-03 -9.48111806e-03 -4.48767132e-05 ... -1.49602192e-02
 -2.22983002e-03  3.16208228e-04]",0.2452416013600176
73,February 22 – Twosday,"[-0.01296038  0.01158218  0.00789152 ...  0.01362298 -0.00353164
 -0.01645889]",0.24553969837004996
74,February 3 – Islamic State leader Abu Ibrahim al-Hashimi al-Qurashi is killed in Atme during a counter-terrorism raid by U.S. special forces in north-western Syria.,"[-0.03839063  0.00744161 -0.00952579 ... -0.00048756  0.01869877
 -0.00051206]",0.24657768658038992
75,"June 8 – 2022 South Khorasan train derailment: In Iran, a passenger train derailed travelling from Tabas to Yazd crashed into an excavator and derailed, killing 18 and injuring 87.","[-0.0198035  -0.02284816  0.02026682 ... -0.00057005 -0.00225205
  0.01240366]",0.24800641454282435
76,"December 24 – 2022 Fijian general election: The Parliament of Fiji elects Sitiveni Rabuka as Prime Minister of Fiji, defeating incumbent Prime Minister Frank Bainimarama after a contentious election.","[-0.01172434 -0.00938462 -0.02316586 ... -0.00425522  0.00119316
  0.00262576]",0.24806684899570275
77,August 17 – Turkey and Israel agree to restore full diplomatic relations after a period of tensions.,"[-0.01072169 -0.01428693 -0.00372759 ...  0.01589746  0.00663044
 -0.02126155]",0.24924275772174176
78,"August 10 – Spanish club Real Madrid beat German club Eintracht Frankfurt 2–0 to win the 2022 UEFA Super Cup played at the Olympic Stadium in Helsinki, Finland.","[-0.00757757 -0.01231838  0.00304422 ... -0.01763812  0.00235271
 -0.01000265]",0.24968487449921362
79,"October 12–October 13 – 2022 Bratislava shooting, killing 3 (including the perpetrator) and injuring one. The shooting occurred outside of a gay bar in Bratislava known as Tepláreň. Two people (excluding the perpetrator) died as a result of the shooting. Juraj Vankulič, a non-binary person, and Matúš Horváth, a bisexual man. The perpetrator (Juraj Krajčík) was found dead due to a self-inflicted gunshot the morning after the attack.","[-0.01601332  0.00460666 -0.00305    ... -0.01111999 -0.01563999
 -0.01430666]",0.24968540515114734
80,"February 5 – Cyclone Batsirai kills a total of 123 people across Madagascar, Mauritius, and Réunion two weeks after Tropical Storm Ana killed 115 people in the same region.","[-0.02131744 -0.00399539  0.00197644 ...  0.00386787 -0.01152842
 -0.01530148]",0.25015834575067564
81,"September 11 – The 2022 Swedish general election is held to elect all 349 seats of the Riksdag. Prime Minister Magdalena Andersson resigns after her centre-left bloc narrowly loses to a bloc of right-wing parties, 176 seats to 173; Andersson is succeeded as prime minister by Ulf Kristersson in October.","[-0.01137482 -0.03256321 -0.00754385 ... -0.01503523 -0.00202864
 -0.0063926 ]",0.25021528044773633
82,May 24 – Uvalde school shooting: 18-year-old Salvador Ramos fatally shoots 19 students and two teachers at Robb Elementary School.,"[-0.02422166 -0.00224388 -0.00516879 ... -0.00394807 -0.00054611
  0.01054317]",0.250376977635681
83,"June 5 – At least 50 people are killed in a dual mass shooting-bomb attack in Owo, Nigeria.","[-0.01838716 -0.00363124 -0.01245272 ... -0.00163518  0.01888758
 -0.00428243]",0.25051655953519336
84,"July 21 – The Parliament of Sri Lanka elects Prime Minister Ranil Wickremesinghe as President of Sri Lanka, following the resignation of Gotabaya Rajapaksa amid protests over the ongoing economic crisis.","[ 0.0094751  -0.0021652  -0.02262409 ... -0.00513839  0.01196855
 -0.00260234]",0.25059158798108716
85,"June 19 – The second round of the 2022 Colombian presidential election is held, and former guerrilla fighter for the 19th of April Movement and incumbent senator, Gustavo Petro, defeats businessman and former mayor of Bucaramanga, Rodolfo Hernández Suárez.","[-0.03157802 -0.0106652   0.01647837 ... -0.00407982  0.0035396
  0.01362813]",0.2511245649505467
86,"May 11 – The Palestinian-American journalist Shireen Abu Akleh is killed by the Israel Defence Forces while covering a raid in Jenin. Initially, Israel denied responsibility but later admitted to the killing and issued an apology.","[-0.01715733 -0.00770648 -0.00653814 ... -0.00773252 -0.00760885
  0.00125784]",0.2522199758997492
87," January 1 – France takes over the Presidency of the Council of the European Union, after the Slovenian presidency.","[ 0.03009609 -0.01057789 -0.01761507 ...  0.02107991  0.01023647
 -0.02462063]",0.2522891675333879
88,"July 8 – Former Prime Minister of Japan Shinzo Abe is assassinated while giving a public speech in the city of Nara, Japan.","[-0.0114387  -0.0053607  -0.01270825 ... -0.00145205 -0.00274224
 -0.01506963]",0.25254296046544433
89,"June 27 – 53 migrants from Mexico, Honduras, Guatemala, and El Salvador are found dead in a tractor trailer in San Antonio, Texas, United States.","[ 0.00018055 -0.01002605  0.00898364 ... -0.0028524   0.00613756
 -0.00030147]",0.25260126666729066
90,"February 6 – Queen Elizabeth II celebrates her ""Platinum Jubilee"", marking 70 years as Queen of the United Kingdom.","[-0.01585664 -0.01427221 -0.01593091 ...  0.01716874  0.00890002
 -0.00598802]",0.2531973104210793
91,January 22 – President-elect of Honduras Xiomara Castro called on her supporters to hold a vigil outside the National Congress until the official board of directors for the 2022–2026 term was chosen the following day as part of the 2022 Honduran political crisis.,"[-0.01703948 -0.0001368  -0.00669888 ...  0.01185238  0.01272586
 -0.00091295]",0.25343083817068657
92,"September 16 – Protests erupt in Iran following the death of Mahsa Amini in the custody of the country's ""morality police"".","[-0.02155522 -0.00529136 -0.00618787 ... -0.00359903 -0.00095985
 -0.0115312 ]",0.2534711052729477
93,"January 15 – A large eruption of Hunga Tonga–Hunga Ha'apai, a submarine volcano in Tonga, triggers tsunami warnings in Australia, Canada, Chile, Fiji, Japan, New Zealand, Samoa, and the United States.","[-0.00619811 -0.01725246  0.00986585 ...  0.01378919  0.02141861
  0.00546647]",0.25369833329875313
94,"November 21 – A 5.6 earthquake strikes near Cianjur in West Java, Indonesia, killing 635 people and injuring 7,700 more.","[ 0.00404612 -0.00411421  0.02369316 ... -0.0029503   0.0003315
 -0.01350005]",0.25454732940385427
95,March 9 – 2022 South Korean presidential election: People Power Party candidate Yoon Suk-yeol is narrowly elected President of South Korea.,"[-0.01140699 -0.03476654  0.02214925 ...  0.00889231  0.00037293
  0.00262599]",0.2545904694939788
96,"August 12 – Indian-born British-American novelist Salman Rushdie is stabbed multiple times as he is about to give a public lecture at the Chautauqua Institution in Chautauqua, New York, United States.","[-0.01807325  0.00181091 -0.00648081 ... -0.0282965   0.01519144
 -0.00330234]",0.254614506370924
97,"March 12 – 2022 Turkmenistan presidential election: Serdar Berdimuhamedow, son of former President Gurbanguly Berdimuhamedow, wins with 89% of the total votes.","[-0.00131682 -0.01388411 -0.02789606 ...  0.00537913  0.02443142
 -0.00055014]",0.2546376232967217
98,"July 7 – After revelations over his appointment of Chris Pincher as Deputy Chief Whip triggered a series of resignations from his government, UK Prime Minister Boris Johnson announces his intention to resign, triggering the July–September 2022 Conservative Party leadership election.","[-0.00689677 -0.0110323  -0.02659912 ...  0.0070551   0.01100697
 -0.00844839]",0.2546550909009244
99,"September 27–September 30 – Hurricane Ian impacts Cuba and the United States, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entire nation of Cuba.","[-0.02687514 -0.01816874  0.00715541 ... -0.01466272  0.00078527
 -0.01845548]",0.25471835308111757
100,July 27 – A 7.0 earthquake strikes the island of Luzon in the Philippines killing 11 people and injuring over 600.,"[ 0.00211188  0.00395716  0.00788221 ...  0.00770234  0.0016084
 -0.031092  ]",0.25555517943788997
101,January 28 – COVID-19 pandemic: The number of vaccinations administered worldwide exceeds 10 billion.,"[-0.00799522 -0.00762554 -0.00273191 ... -0.0073749   0.00649768
 -0.0171183 ]",0.25559902018340985
102,"September 5 – A 6.8 earthquake strikes Luding County in Sichuan province, China, killing 117 and injuring 424.","[ 0.01260899  0.01629652  0.01468405 ...  0.00287799 -0.00359501
 -0.03013468]",0.25602767148659245
103,November 20–December 18 – The 2022 FIFA World Cup is held in Qatar and won by Argentina.,"[ 0.00320342 -0.01554958  0.01295171 ... -0.00695276 -0.0012205
 -0.01610179]",0.25611498433667845
104,"August 27 – September 11 – The 2022 Asia Cup is held in the United Arab Emirates, and is won by Sri Lanka.","[-0.00748284 -0.0141651   0.02222255 ... -0.01566296  0.01226695
  0.01038817]",0.256260621628565
105,March 29 – The Democratic Republic of the Congo is admitted to the East African Community.,"[ 0.00400511  0.00442836  0.00604557 ...  0.0091789  -0.0093621
 -0.00177198]",0.2564944397866097
106,"October 1 – A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency, East Java, Indonesia, killing 135 people and injuring more than 500.","[-0.00254267  0.00238706  0.01736165 ... -0.01115066  0.00497277
  0.00016688]",0.2568741542848608
107,March 11 – Gabriel Boric is sworn in as President of Chile. He becomes the youngest head of state in the nation's history and the first to be born during the military dictatorship of Augusto Pinochet.,"[-0.01256626 -0.00958455 -0.00769896 ... -0.01081769 -0.01250754
  0.00232274]",0.25691809864546256
108,May 9 – Prime Minister of Sri Lanka Mahinda Rajapaksa resigns as a result of massive protests against his government across the country. He is succeeded by Ranil Wickremesinghe as prime minister three days later.,"[-0.00168453  0.00075923 -0.01441263 ... -0.01809487 -0.00413778
  0.00426115]",0.2576992481912158
